SYMBOL
SOLARINDS
POWERGRID
JSWENERGY
POLICYBZR
HINDUNILVR
ADANIENSOL
PIIND
ICICIGI
INFY
TORNTPOWER
SBICARD
TIINDIA
MFSL
NESTLEIND
INDUSTOWER
HAVELLS
ITC
MUTHOOTFIN
DMART
BALKRISIND
ASIANPAINT
CIPLA
CHAMBLFERT
SUNPHARMA
SBILIFE
TATAPOWER
GODREJCP
HDFCBANK
JSWSTEEL
TATACHEM
POONAWALLA
NTPC
ICICIBANK
SYNGENE
BHARTIARTL
HINDALCO
PATANJALI
AXISBANK
GLENMARK
HDFCLIFE
TATAMOTORS
RAMCOCEM
ATGL
SRF
CROMPTON
BAJAJFINSV
TECHM
SHREECEM
CAMS
BRITANNIA
JKCEMENT
HCLTECH
DABUR
PHOENIXLTD
INDIGO
TATASTEEL
PAGEIND
TCS
ADANIPORTS
MARICO
JINDALSTEL
TATACONSUM
TORNTPHARM
SBIN
INDHOTEL
MRF
AUROPHARMA
KOTAKBANK
MARUTI
VOLTAS
MGL
LICHSGFIN
GRASIM
BAJFINANCE
BANKBARODA
PIDILITIND
SHRIRAMFIN
NCC
RELIANCE
ULTRACEMCO
LTIM
ADANIENT
ZYDUSLIFE
FEDERALBNK
APOLLOHOSP
M&M
M&MFIN
SONACOMS
JUBLFOOD
LTF
DRREDDY
HAL
BOSCHLTD
CYIENT
UNITDSPR
TATACOMM
LUPIN
APOLLOTYRE
AUBANK
ICICIPRULI
VBL
NYKAA
WIPRO
DIVISLAB
ADANIGREEN
OBEROIRLTY
COLPAL
MOTHERSON
COALINDIA
DALBHARAT
BANDHANBNK
ACC
BERGEPAINT
MPHASIS
TITAN
BEL
LAURUSLABS
DELHIVERY
MANAPPURAM
BPCL
HEROMOTOCO
ASHOKLEY
IRCTC
GMRAIRPORT
CUMMINSIND
LICI
PFC
BIOCON
HINDPETRO
CESC
BHARATFORG
VEDL
IDFCFIRSTB
GAIL
NHPC
LT
GODREJPROP
ABCAPITAL
OIL
NMDC
APLAPOLLO
YESBANK
AMBUJACEM
IRB
HUDCO
ALKEM
UPL
COFORGE
OFSS
JSL
MAXHEALTH
PERSISTENT
PEL
ZOMATO
SUPREMEIND
DEEPAKNTR
EICHERMOT
IOC
PRESTIGE
SJVN
CONCOR
ESCORTS
HDFCAMC
ANGELONE
ABFRL
BAJAJ-AUTO
TATAELXSI
RBLBANK
JIOFIN
BHEL
POLYCAB
EXIDEIND
SIEMENS
IGL
IIFL
PNB
RECLTD
GRANULES
HINDCOPPER
CHOLAFIN
CANBK
TATATECH
UNIONBANK
IRFC
ABB
PETRONET
LODHA
PAYTM
BANKINDIA
NBCC
IEX
SAIL
MCX
DLF
NAUKRI
TVSMOTOR
LTTS
INDUSINDBK
ASTRAL
IDEA
NATIONALUM
KPITTECH
AARTIIND
IREDA
TRENT
ONGC
CDSL
INDIANB
BSE
HFCL
KALYANKJIL
BSOFT
CGPOWER
DIXON
KEI
TITAGARH
